"id","Own","IntentToBuy","BrandAwareness_Anker","BrandAwareness_Bose","BrandAwareness_JBL","BrandAwareness_Philips","BrandAwareness_Sony","BrandAwareness_UE","BrandAwareness_HarmanKardon","BrandAwareness_Beats","BrandAwareness_None","SubjKnow_r1","SubjKnow_r2","SubjKnow_r3","SubjKnow_r4","SubjKnow_r5","PII_1","PII_2","PII_3","PII_4","PII_5","RelImp_battery","RelImp_weight","RelImp_price","RelImp_sound","Gender","GenderLabel","Age","AgeLabel","Residence","Occupation","OccupationLabel","Education","EducationLabel","Income","IncomeLabel"
110,0,0,0,1,1,0,0,0,0,1,0,2,3,3,4,3,4,4,3,3,3,15,5,20,60,1,"female",2,"18-24","Germany",3,"Student",4,"Graduate",1,"<500€"
111,0,0,0,1,1,0,0,1,1,1,0,6,7,2,7,7,4,4,4,2,4,25,15,35,25,2,"male",3,"25-29","Germany",3,"Student",4,"Graduate",2,"501-1000€"
112,1,0,0,1,1,1,1,0,0,1,0,5,5,2,5,5,2,3,3,2,3,30,5,15,50,2,"male",2,"18-24","Germany",3,"Student",4,"Graduate",3,"1001-1500€"
114,0,1,0,0,0,0,0,0,0,0,1,2,3,2,4,2,4,4,4,4,4,35,10,5,50,1,"female",3,"25-29","Ghana",1,"Employed",4,"Graduate",5,"2001-2500€"
115,0,0,0,0,0,0,0,0,0,0,1,4,5,4,5,5,4,4,4,4,4,15,0,75,10,2,"male",2,"18-24","Germany",3,"Student",4,"Graduate",3,"1001-1500€"
116,0,0,0,0,0,1,1,0,0,1,0,4,3,2,4,2,5,4,4,5,4,20,20,20,40,1,"female",3,"25-29","Germany",4,"Unemployed",4,"Graduate",1,"<500€"
120,1,1,0,1,1,0,1,0,1,1,0,4,4,3,6,5,4,4,4,4,4,40,10,20,30,2,"male",3,"25-29","China",3,"Student",4,"Graduate",7,">=3001€"
125,0,0,0,0,0,0,0,0,0,1,0,2,2,1,2,2,4,4,4,4,4,10,10,50,30,1,"female",2,"18-24","United States",3,"Student",3,"Undergraduate",2,"501-1000€"
127,1,0,0,1,0,1,0,0,1,0,0,5,2,2,4,3,2,3,2,2,3,30,30,30,10,1,"female",3,"25-29","China",3,"Student",4,"Graduate",3,"1001-1500€"
134,0,1,1,1,1,1,1,0,0,0,0,4,5,4,6,5,5,5,5,5,5,20,10,50,20,1,"female",2,"18-24","Germany",3,"Student",3,"Undergraduate",1,"<500€"
137,0,0,0,0,0,0,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,20,10,20,50,3,"Prefer not to answer",2,"18-24","China",1,"Employed",4,"Graduate",2,"501-1000€"
139,1,0,0,1,0,0,0,0,1,0,0,5,6,5,6,6,2,2,3,2,4,30,10,30,30,2,"male",4,"30-34","Turkey",1,"Employed",4,"Graduate",3,"1001-1500€"
145,0,0,0,0,0,0,0,0,0,0,1,2,4,2,4,2,4,4,3,1,4,0,0,100,0,2,"male",6,"40-44","Germany",2,"Self-employed",2,"High school",8,"rather not say"
147,0,0,0,0,0,0,0,0,0,0,1,3,6,2,5,2,3,4,4,3,4,80,10,10,0,1,"female",8,">=50","Germany",1,"Employed",4,"Graduate",8,"rather not say"
149,0,0,0,1,1,0,0,0,0,0,0,4,5,2,4,4,4,4,5,5,4,30,20,10,40,1,"female",3,"25-29","Germany",1,"Employed",4,"Graduate",5,"2001-2500€"
150,1,0,0,0,0,1,1,0,0,0,0,5,5,2,6,4,4,1,4,4,1,42,6,2,50,1,"female",4,"30-34","Germany",1,"Employed",4,"Graduate",7,">=3001€"
152,0,0,1,1,1,1,1,1,1,1,0,6,5,4,7,6,1,2,1,1,1,20,20,0,60,2,"male",3,"25-29","Germany",4,"Unemployed",3,"Undergraduate",7,">=3001€"
155,0,0,0,1,1,0,1,0,0,1,0,4,5,4,4,3,4,5,3,4,1,20,10,30,40,2,"male",2,"18-24","Germany",3,"Student",2,"High school",2,"501-1000€"
156,1,1,0,1,1,1,1,0,1,1,0,2,4,2,6,4,3,3,3,3,4,20,10,20,50,2,"male",2,"18-24","United States",3,"Student",4,"Graduate",8,"rather not say"
157,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,5,3,5,5,3,20,10,35,35,2,"male",3,"25-29","Germany",1,"Employed",3,"Undergraduate",4,"1501-2000€"
159,1,0,0,1,1,0,0,0,1,0,0,2,6,4,7,5,6,6,6,6,7,10,20,20,50,1,"female",3,"25-29","Germany",3,"Student",4,"Graduate",4,"1501-2000€"
160,0,0,0,0,0,0,1,0,0,0,0,2,1,3,4,2,3,4,3,3,6,20,30,25,25,1,"female",2,"18-24","Germany",3,"Student",3,"Undergraduate",2,"501-1000€"
162,0,0,0,0,0,0,0,0,0,0,1,5,5,1,5,5,5,4,6,5,3,15,15,30,40,2,"male",3,"25-29","United States",1,"Employed",3,"Undergraduate",5,"2001-2500€"
163,0,1,1,1,1,1,1,0,1,1,0,2,5,3,5,6,5,4,4,4,5,35,10,20,35,2,"male",2,"18-24","Germany",3,"Student",3,"Undergraduate",2,"501-1000€"
169,0,1,1,1,0,0,0,0,0,1,0,5,5,2,6,6,5,4,5,4,5,25,10,15,50,2,"male",3,"25-29","United States",3,"Student",4,"Graduate",4,"1501-2000€"
170,0,1,0,1,0,0,0,0,1,0,0,3,2,3,4,5,4,7,4,5,6,20,20,10,50,1,"female",2,"18-24","United States",3,"Student",3,"Undergraduate",6,"2501-3000€"
177,0,0,0,1,0,0,0,0,0,0,0,2,2,1,4,2,1,4,2,2,2,35,10,30,25,2,"male",3,"25-29","Germany",3,"Student",3,"Undergraduate",2,"501-1000€"
178,0,0,0,1,0,1,1,0,0,1,0,2,2,1,4,2,3,3,3,3,3,30,10,30,30,1,"female",2,"18-24","Germany",3,"Student",3,"Undergraduate",1,"<500€"
179,0,1,0,1,1,0,0,0,0,0,0,2,2,2,4,2,3,3,2,3,3,10,5,25,60,1,"female",3,"25-29","Germany",3,"Student",4,"Graduate",3,"1001-1500€"
184,1,0,0,1,1,0,1,1,1,1,0,5,4,5,5,5,5,4,5,5,5,20,10,20,50,2,"male",2,"18-24","Belgium",3,"Student",2,"High school",1,"<500€"
185,0,1,0,1,0,0,0,0,0,0,0,5,6,4,6,6,4,6,6,6,5,10,10,45,35,1,"female",2,"18-24","Belgium",3,"Student",4,"Graduate",1,"<500€"
186,0,0,0,1,0,1,1,0,0,1,0,4,4,4,4,4,1,1,1,1,1,10,0,40,50,3,"Prefer not to answer",2,"18-24","Germany",3,"Student",3,"Undergraduate",1,"<500€"
187,1,0,1,1,1,1,1,0,0,1,0,4,5,2,5,4,7,6,7,7,7,30,10,25,35,2,"male",2,"18-24","Germany",3,"Student",3,"Undergraduate",3,"1001-1500€"
188,0,1,0,1,1,1,0,0,0,1,0,3,4,3,3,5,4,4,5,5,4,30,5,40,25,1,"female",2,"18-24","Belgium",3,"Student",3,"Undergraduate",1,"<500€"
189,0,0,0,1,0,1,1,1,0,1,0,2,2,2,3,2,5,4,5,5,5,25,5,35,35,2,"male",2,"18-24","Belgium",3,"Student",2,"High school",1,"<500€"
190,1,0,0,1,0,1,1,0,0,1,0,4,5,1,4,5,4,4,4,5,3,10,0,90,0,2,"male",3,"25-29","United States",1,"Employed",3,"Undergraduate",8,"rather not say"
192,1,0,0,0,0,0,1,0,0,0,0,4,3,4,4,5,6,5,5,6,3,10,10,20,60,1,"female",2,"18-24","Germany",1,"Employed",2,"High school",8,"rather not say"
194,0,0,0,1,1,1,1,0,0,1,0,5,5,3,5,5,4,2,5,2,3,10,10,30,50,2,"male",2,"18-24","Germany",3,"Student",2,"High school",2,"501-1000€"
206,0,1,0,1,1,1,0,0,0,0,0,4,3,4,4,5,5,5,5,4,2,10,40,20,30,2,"male",2,"18-24","Netherlands",3,"Student",4,"Graduate",2,"501-1000€"
212,0,0,0,1,0,1,1,0,0,1,0,4,5,3,5,5,3,3,4,3,4,20,0,40,40,1,"female",2,"18-24","Germany",3,"Student",4,"Graduate",1,"<500€"
213,1,0,0,1,1,0,0,0,0,0,0,6,3,5,3,3,7,7,7,7,7,50,5,5,40,2,"male",2,"18-24","Germany",2,"Self-employed",2,"High school",4,"1501-2000€"
214,1,0,1,1,1,0,0,0,0,0,0,4,5,2,5,5,6,4,5,4,6,25,10,35,30,2,"male",3,"25-29","Germany",1,"Employed",4,"Graduate",4,"1501-2000€"
216,1,0,0,1,0,0,0,0,0,0,0,6,7,3,3,7,6,5,6,7,6,20,10,20,50,2,"male",3,"25-29","Turkey",2,"Self-employed",4,"Graduate",7,">=3001€"
218,0,0,0,1,0,0,0,0,0,0,0,2,7,1,2,1,4,4,3,4,5,10,10,30,50,1,"female",2,"18-24","Belgium",3,"Student",3,"Undergraduate",1,"<500€"
222,0,1,0,1,1,0,0,0,0,1,0,2,2,2,2,2,4,4,5,4,5,25,15,30,30,1,"female",2,"18-24","Germany",3,"Student",5,"Other",2,"501-1000€"
223,0,0,0,1,1,0,0,0,0,0,0,2,2,2,2,2,4,4,4,4,4,10,10,30,50,2,"male",3,"25-29","Turkey",1,"Employed",3,"Undergraduate",4,"1501-2000€"
228,0,1,0,1,0,1,1,0,0,1,0,5,5,5,6,3,6,6,6,6,6,20,25,45,10,3,"Prefer not to answer",2,"18-24","Germany",3,"Student",4,"Graduate",8,"rather not say"
231,0,1,0,0,1,0,0,0,0,0,0,3,2,2,2,2,4,4,4,4,4,2,0,90,8,2,"male",4,"30-34","Portugal",2,"Self-employed",3,"Undergraduate",2,"501-1000€"
233,0,0,0,1,1,1,1,0,0,0,0,5,5,2,6,6,6,6,6,6,6,30,10,35,25,2,"male",3,"25-29","Germany",3,"Student",3,"Undergraduate",2,"501-1000€"
235,1,0,0,0,1,0,0,1,0,0,0,4,5,4,7,6,5,5,5,5,5,20,15,40,25,1,"female",3,"25-29","Germany",3,"Student",3,"Undergraduate",2,"501-1000€"
238,1,0,1,1,1,0,1,1,1,1,0,6,6,5,6,6,7,6,7,6,7,15,5,30,50,2,"male",3,"25-29","Germany",3,"Student",3,"Undergraduate",2,"501-1000€"
239,1,1,0,1,1,0,1,0,0,1,0,4,4,4,4,4,5,5,5,4,5,20,10,35,35,1,"female",3,"25-29","Germany",3,"Student",4,"Graduate",1,"<500€"
244,0,0,0,1,1,0,0,0,0,1,0,2,2,1,3,2,3,2,4,3,2,10,5,25,60,2,"male",2,"18-24","China",3,"Student",4,"Graduate",1,"<500€"
245,1,0,0,1,1,1,1,1,1,0,0,5,5,3,4,5,5,6,5,7,5,10,5,15,70,2,"male",2,"18-24","Germany",3,"Student",3,"Undergraduate",3,"1001-1500€"
252,1,1,0,0,0,0,0,1,0,0,0,5,5,4,2,4,5,4,6,5,5,40,1,19,40,2,"male",2,"18-24","Bulgaria",3,"Student",2,"High school",8,"rather not say"
256,0,0,1,1,0,1,1,0,0,1,0,2,2,4,4,2,4,4,5,4,5,20,10,50,20,2,"male",3,"25-29","Bulgaria",2,"Self-employed",4,"Graduate",1,"<500€"
257,0,1,0,1,1,1,1,0,0,1,0,2,2,1,4,2,4,4,5,4,5,30,0,30,40,2,"male",3,"25-29","Denmark",1,"Employed",4,"Graduate",5,"2001-2500€"
259,1,1,0,0,1,0,0,0,0,1,0,5,5,4,3,5,5,5,5,4,4,30,5,15,50,2,"male",3,"25-29","Germany",2,"Self-employed",4,"Graduate",3,"1001-1500€"
262,1,0,0,0,1,1,1,0,0,1,0,5,6,3,6,6,4,4,4,4,4,35,15,15,35,3,"Prefer not to answer",3,"25-29","Benin",1,"Employed",3,"Undergraduate",8,"rather not say"
264,0,1,0,1,0,1,0,0,0,0,0,3,4,3,4,3,4,5,4,5,4,25,25,25,25,1,"female",2,"18-24","Germany",3,"Student",4,"Graduate",2,"501-1000€"
267,1,0,0,1,0,1,1,0,0,1,0,3,3,5,5,5,5,5,5,5,5,20,20,30,30,2,"male",3,"25-29","Bulgaria",1,"Employed",4,"Graduate",3,"1001-1500€"
268,1,1,0,0,0,1,1,0,0,1,0,4,5,2,5,5,5,5,5,5,4,5,5,40,50,1,"female",3,"25-29","Denmark",3,"Student",4,"Graduate",4,"1501-2000€"
276,1,1,0,0,1,0,0,0,1,1,0,7,1,7,7,7,4,5,7,6,1,10,15,10,65,2,"male",4,"30-34","Germany",1,"Employed",4,"Graduate",2,"501-1000€"
278,1,0,0,1,1,1,1,0,0,0,0,3,3,3,4,3,2,3,2,2,3,20,15,5,60,2,"male",8,">=50","Switzerland",1,"Employed",2,"High school",7,">=3001€"
279,0,0,0,1,0,0,0,0,0,0,0,2,2,1,2,2,1,1,1,1,1,10,30,60,0,2,"male",5,"35-39","Malaysia",1,"Employed",3,"Undergraduate",3,"1001-1500€"
280,0,0,0,1,0,1,1,0,0,0,0,2,2,2,3,2,4,3,4,4,4,30,30,10,30,1,"female",8,">=50","Switzerland",1,"Employed",2,"High school",3,"1001-1500€"
283,0,1,0,0,0,0,0,0,0,1,0,2,4,2,5,4,5,5,5,3,4,30,0,40,30,2,"male",3,"25-29","Germany",1,"Employed",2,"High school",3,"1001-1500€"
284,0,0,0,1,1,0,1,0,0,1,0,4,6,3,5,4,2,2,2,2,2,10,10,40,40,2,"male",3,"25-29","Turkey",1,"Employed",4,"Graduate",2,"501-1000€"
285,1,0,0,0,0,0,0,0,0,1,0,5,3,4,4,3,5,2,1,4,4,40,10,20,30,2,"male",3,"25-29","Turkey",3,"Student",2,"High school",2,"501-1000€"
288,0,1,0,1,1,0,1,0,0,1,0,6,6,3,6,7,4,4,4,4,4,40,30,15,15,1,"female",2,"18-24","Germany",3,"Student",2,"High school",1,"<500€"
289,0,0,0,1,0,1,0,0,0,1,0,3,5,2,6,5,6,2,3,2,2,20,10,60,10,1,"female",2,"18-24","Germany",3,"Student",4,"Graduate",2,"501-1000€"
293,0,0,0,1,1,1,1,1,0,1,0,6,6,2,6,6,4,4,4,4,4,25,10,25,40,2,"male",3,"25-29","Germany",2,"Self-employed",4,"Graduate",4,"1501-2000€"
298,1,0,0,1,1,0,0,0,1,1,0,5,6,4,5,6,6,6,6,6,6,15,5,30,50,1,"female",5,"35-39","Malaysia",1,"Employed",4,"Graduate",1,"<500€"
299,0,0,0,0,0,1,1,0,0,0,0,1,1,1,2,1,1,3,1,3,3,20,20,40,20,1,"female",2,"18-24","Syria",4,"Unemployed",4,"Graduate",1,"<500€"
300,1,1,0,1,1,0,0,0,0,0,0,6,6,6,6,6,2,6,6,4,5,10,30,10,50,2,"male",3,"25-29","Germany",1,"Employed",4,"Graduate",3,"1001-1500€"
301,0,0,0,0,0,1,1,0,0,0,0,1,1,1,2,1,2,2,2,2,2,20,10,50,20,1,"female",8,">=50","Syria",4,"Unemployed",4,"Graduate",3,"1001-1500€"
303,0,0,0,0,1,1,1,0,0,0,0,2,2,1,2,2,1,2,1,1,1,20,20,40,20,2,"male",8,">=50","Syria",2,"Self-employed",4,"Graduate",7,">=3001€"
304,1,0,1,0,1,1,1,0,0,0,0,5,6,3,6,6,6,6,6,6,6,20,20,30,30,2,"male",2,"18-24","Syria",4,"Unemployed",4,"Graduate",2,"501-1000€"
307,0,0,0,0,0,1,1,0,0,0,0,1,7,1,7,7,1,1,1,1,1,10,5,80,5,1,"female",8,">=50","Germany",1,"Employed",4,"Graduate",8,"rather not say"
319,0,0,1,1,0,1,1,0,0,1,0,3,5,1,6,4,1,1,1,1,1,20,20,0,60,2,"male",3,"25-29","Germany",1,"Employed",4,"Graduate",7,">=3001€"
322,1,0,1,0,1,0,0,0,0,0,0,3,5,3,3,6,6,5,5,5,6,20,10,45,25,2,"male",3,"25-29","Germany",3,"Student",5,"Other",1,"<500€"
323,1,0,1,0,1,0,1,0,0,1,0,7,7,6,6,7,6,6,5,6,5,15,5,20,60,2,"male",3,"25-29","Germany",1,"Employed",4,"Graduate",4,"1501-2000€"
324,0,0,0,0,1,1,1,0,0,0,0,1,2,2,1,1,2,2,2,2,2,20,20,40,20,1,"female",7,"45-49","Syria",4,"Unemployed",4,"Graduate",2,"501-1000€"
325,0,0,0,0,1,1,1,0,0,1,0,2,2,2,2,2,1,2,1,1,1,20,20,30,30,1,"female",8,">=50","Syria",4,"Unemployed",4,"Graduate",2,"501-1000€"
326,0,0,0,1,1,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,30,10,30,30,2,"male",7,"45-49","Syria",1,"Employed",4,"Graduate",3,"1001-1500€"
327,1,0,0,0,1,1,1,0,0,1,0,6,6,4,6,5,5,5,6,5,5,20,20,40,20,2,"male",1,"<18","Syria",3,"Student",3,"Undergraduate",1,"<500€"
328,1,0,0,1,0,1,1,0,0,1,0,6,7,6,6,6,7,7,7,6,7,30,20,10,40,2,"male",4,"30-34","United Kingdom",1,"Employed",4,"Graduate",6,"2501-3000€"
329,1,0,1,1,1,1,1,0,1,0,0,6,6,5,6,6,4,5,6,5,6,20,20,30,30,2,"male",4,"30-34","Germany",3,"Student",4,"Graduate",2,"501-1000€"
331,0,1,0,1,1,0,0,0,0,0,0,2,3,3,4,5,4,3,3,3,2,20,30,20,30,2,"male",2,"18-24","China",4,"Unemployed",4,"Graduate",8,"rather not say"
333,0,1,0,0,1,1,0,0,0,1,0,2,2,2,3,3,7,6,7,6,2,50,10,10,30,1,"female",3,"25-29","Bulgaria",1,"Employed",3,"Undergraduate",1,"<500€"
339,0,1,0,1,1,1,1,0,0,1,0,3,4,2,4,5,3,4,5,4,4,20,10,30,40,2,"male",4,"30-34","Bulgaria",1,"Employed",4,"Graduate",8,"rather not say"
345,1,0,0,1,1,0,1,0,0,0,0,4,3,1,7,4,2,3,2,1,1,15,15,15,55,1,"female",4,"30-34","Germany",1,"Employed",4,"Graduate",4,"1501-2000€"
346,1,0,0,1,1,1,1,0,1,1,0,3,3,3,2,3,2,2,2,2,2,40,5,40,15,1,"female",2,"18-24","Turkey",1,"Employed",4,"Graduate",8,"rather not say"
348,1,1,0,1,1,1,0,0,0,0,0,5,5,3,5,5,6,6,6,5,5,15,5,40,40,1,"female",3,"25-29","Turkey",1,"Employed",4,"Graduate",3,"1001-1500€"
355,0,1,0,0,1,0,1,0,0,1,0,6,5,6,6,6,3,4,3,4,3,5,15,50,30,2,"male",3,"25-29","Germany",3,"Student",4,"Graduate",2,"501-1000€"
357,0,1,1,1,1,1,1,0,0,1,0,4,6,5,4,6,6,5,6,6,6,30,10,30,30,2,"male",3,"25-29","Germany",4,"Unemployed",4,"Graduate",8,"rather not say"
358,0,1,0,1,0,0,1,0,0,1,0,2,2,1,2,2,4,5,5,4,4,30,20,20,30,1,"female",2,"18-24","Belgium",3,"Student",4,"Graduate",1,"<500€"
359,1,0,0,1,1,0,1,1,0,1,0,6,6,4,6,6,7,7,7,7,7,20,10,30,40,2,"male",2,"18-24","United States",3,"Student",2,"High school",2,"501-1000€"
360,1,1,1,0,0,0,1,0,0,0,0,6,3,4,3,4,4,5,4,3,4,50,20,5,25,2,"male",4,"30-34","United States",4,"Unemployed",4,"Graduate",7,">=3001€"
367,0,1,0,1,0,1,1,0,0,1,0,3,4,2,4,4,4,4,4,4,4,20,20,20,40,1,"female",2,"18-24","Germany",1,"Employed",4,"Graduate",3,"1001-1500€"
369,0,0,1,0,1,0,1,0,0,0,0,4,3,2,5,4,5,4,2,4,5,24,22,20,34,2,"male",3,"25-29","Germany",1,"Employed",2,"High school",6,"2501-3000€"
371,1,0,0,1,1,0,1,0,0,1,0,6,5,3,5,5,6,5,4,6,3,30,20,20,30,1,"female",2,"18-24","Netherlands",3,"Student",2,"High school",2,"501-1000€"
378,0,0,0,0,0,0,0,0,0,0,1,5,5,2,4,4,1,2,1,1,2,4,0,90,6,1,"female",2,"18-24","Germany",1,"Employed",3,"Undergraduate",3,"1001-1500€"
379,0,1,0,0,0,0,1,0,0,1,0,6,6,4,4,6,5,3,4,3,5,10,0,50,40,3,"Prefer not to answer",2,"18-24","Iran",3,"Student",2,"High school",1,"<500€"
382,0,0,0,0,0,0,0,0,0,0,1,2,2,1,4,2,3,4,3,4,3,30,0,70,0,2,"male",8,">=50","Germany",2,"Self-employed",4,"Graduate",5,"2001-2500€"
383,1,0,0,0,0,1,1,0,1,1,0,6,5,2,6,5,6,6,6,6,6,50,30,10,10,3,"Prefer not to answer",2,"18-24","Russia",1,"Employed",4,"Graduate",3,"1001-1500€"
384,1,1,0,1,1,1,1,0,0,0,0,2,2,2,4,2,5,5,5,5,4,40,0,0,60,2,"male",3,"25-29","Finland",1,"Employed",1,"Less than high school",7,">=3001€"
386,1,0,0,1,1,0,1,0,1,1,0,5,6,4,4,5,6,5,6,4,5,20,10,30,40,1,"female",2,"18-24","Germany",1,"Employed",3,"Undergraduate",4,"1501-2000€"
387,1,0,0,1,1,0,1,1,0,1,0,5,5,5,5,5,4,5,4,4,3,10,20,30,40,2,"male",3,"25-29","Netherlands",3,"Student",3,"Undergraduate",3,"1001-1500€"
390,1,0,0,1,0,0,1,0,0,1,0,2,5,3,5,6,5,4,5,4,5,15,20,40,25,1,"female",2,"18-24","Germany",3,"Student",3,"Undergraduate",2,"501-1000€"
392,0,1,1,1,0,0,0,1,0,0,0,5,3,1,3,5,5,5,5,5,5,20,5,25,50,2,"male",4,"30-34","Turkey",1,"Employed",4,"Graduate",3,"1001-1500€"
393,1,0,0,1,1,1,1,0,0,0,0,5,2,5,6,6,5,5,5,5,5,30,10,10,50,2,"male",8,">=50","Germany",1,"Employed",5,"Other",8,"rather not say"
